sku,titel,tekstbron,woorden,afbeeldingen,gewicht_g,prijs,prijs_regulier,prijs_actie,op_voorraad
shot-man,Mango Shot,eigen pagina,207,2,,4.95,4.95,3.96,ja
shot-suiker,Suikerspin Shot,alleen korte omschrijving,21,2,,4.95,4.95,2.95,nee
peap1kg,Vegan Pea Protein 1kg,Erwten Eiwit,355,1,1000,22.95,22.95,22.95,ja
shot-pea,Peach Shot,alleen korte omschrijving,21,2,,4.95,4.95,4.21,nee
shot-honey,Honey Shot,eigen pagina,206,1,,4.95,4.95,2.48,ja
shot-cheese,Cheesecake Shot,eigen pagina,206,2,,4.95,4.95,2.48,ja
shot-apple,Apple Cinnamon Shot,eigen pagina,207,2,,4.95,4.95,2.48,ja
shot-cit,Citrus Shot,alleen korte omschrijving,21,2,,4.95,4.95,2.97,nee
shot-bb,Blueberry Shot,alleen korte omschrijving,21,2,,4.95,4.95,2.95,nee
shot-nat.van,Natural Vanilla Shot,eigen pagina,209,2,,4.95,4.95,2.48,ja
shot-nat.straw,Natural Strawberry Shot,eigen pagina,209,2,,4.95,4.95,2.48,ja
shot-nat.car,Natural Caramel Shot,eigen pagina,205,2,,4.95,4.95,2.48,ja
shot-cookie,Cookie Shot,alleen korte omschrijving,21,2,,4.95,4.95,2.48,nee
shot-spec,Speculaas Shot,alleen korte omschrijving,21,2,,4.95,4.95,4.21,nee
shot-sunset,Clear Sunset Shot,alleen korte omschrijving,24,3,,4.95,4.95,2.95,nee
shot-tom,Tompouce Shot,alleen korte omschrijving,21,2,,4.95,4.95,2.95,nee
bar-blueberrycheesecake,Blueberry Cheesecake 12 repen,Blueberry Cheesecake Protein Bar,232,1,,24.95,24.95,17.46,nee
